date,gross_return,turnover,spread_cost,impact_cost,borrow_cost,net_return,cumulative_net,gate
2025-11-20,0.0,0.0,0.0,0.0,0.0,0.0,-13.074385202206146,0
2025-11-21,0.0,0.0,0.0,0.0,0.0,0.0,-13.074385202206146,0
2025-11-24,0.0,0.0,0.0,0.0,0.0,0.0,-13.074385202206146,0
2025-11-25,0.0,0.0,0.0,0.0,0.0,0.0,-13.074385202206146,0
2025-11-26,0.0,0.0,0.0,0.0,0.0,0.0,-13.074385202206146,0
2025-11-27,0.00098277690263869,1.0,0.021619303196297075,0.0016844145924229021,0.0,-0.022320940886081286,-13.096706143092227,1
2025-11-28,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-02,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-03,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-04,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-05,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-08,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-09,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-10,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-11,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-12,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-15,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-16,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-17,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-18,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-19,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-22,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-23,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-26,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-29,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2025-12-30,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-02,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-05,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-06,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-07,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-08,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-09,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-12,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-13,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-14,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-15,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-16,0.0,0.0,0.0,0.0,0.0,0.0,-13.096706143092227,0
2026-01-19,0.009393462163032967,1.0,0.018162886992341726,0.0013826639817619197,0.0,-0.01015208881107068,-13.106858231903297,1
2026-01-20,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-01-21,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-01-22,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-01-23,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-01-26,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-01-27,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-01-28,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-01-29,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-01-30,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-02,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-03,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-04,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-05,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-06,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-09,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-10,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-11,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-12,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-13,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-19,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-20,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-23,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-24,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-25,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-26,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-02-27,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-03,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-04,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-05,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-06,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-09,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-10,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-11,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-12,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-13,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-16,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-17,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-18,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-20,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-23,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-24,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-27,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-30,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-03-31,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-04-02,0.0,0.0,0.0,0.0,0.0,0.0,-13.106858231903297,0
2026-04-03,0.004976035501046255,1.0,0.0020000000000000005,0.0014464113825119172,0.0,0.0015296241185343371,-13.105328607784763,1
2026-04-06,0.0,0.0,0.0,0.0,0.0,0.0,-13.105328607784763,0
2026-04-07,0.0,0.0,0.0,0.0,0.0,0.0,-13.105328607784763,0
2026-04-08,0.0,0.0,0.0,0.0,0.0,0.0,-13.105328607784763,0
2026-04-09,0.0,0.0,0.0,0.0,0.0,0.0,-13.105328607784763,0
2026-04-10,0.0,0.0,0.0,0.0,0.0,0.0,-13.105328607784763,0
2026-04-13,0.0,0.0,0.0,0.0,0.0,0.0,-13.105328607784763,0
2026-04-14,0.0,0.0,0.0,0.0,0.0,0.0,-13.105328607784763,0
2026-04-15,0.0,0.0,0.0,0.0,0.0,0.0,-13.105328607784763,0
